Fishery,SASAPRegions,in_use_2018
S01A,Southeast,1
S01E,Prince William Sound,1
S01H,Cook Inlet,1
S01K,Kodiak,1
S01L,Chignik,1
S01M,Alaska Peninsula and Aleutian Islands,1
S02K,Kodiak,1
S03A,Southeast,1
S03E,Copper River,1
S03H,Cook Inlet,1
S03M,Alaska Peninsula and Aleutian Islands,1
S03T,Bristol Bay,1
S04D,Southeast,1
S04E,Prince William Sound,1
S04F,Alaska Peninsula and Aleutian Islands,1
S04H,Cook Inlet,1
S04K,Kodiak,1
S04M,Alaska Peninsula and Aleutian Islands,1
S04P,Yukon,1
S04T,Bristol Bay,1
S04W,Kuskokwim,1
S04X,Kotzebue,1
S04Y,Yukon,1
S04Z,Norton Sound,1
S05B,Statewide,1
S08P,Yukon,1
S15B,Statewide,1
S77A,Southeast,1
S77E,Prince William Sound,1
S77H,Cook Inlet,1
S77K,Kodiak,1
S77T,Bristol Bay,1
S77W,Kuskokwim,1
S77Y,Yukon,1
S99H,Cook Inlet,1
S08Y,Yukon,0
S03W,Kuskokwim,0
S03Y,Yukon,0
S08Z,Norton Sound,0
S06B,Statewide,0
S02A,Southeast,0
S02E,Prince William Sound,0
S13A,Southeast,0
S99A,Southeast,0
