Community,SASAPRegions,NAMELSAD,region,Reg_corp,County,LAT,LONG,Urban
Adak,Alaska Peninsula and Aleutian Islands,Adak city,Aleutian Islands,Aleut,Aleutians West,51.8399043,-176.5655164,0
Adak Station,Alaska Peninsula and Aleutian Islands,,,,,,,0
Afognak,Kodiak,,,,,,,0
Akhiok,Kodiak,Akhiok city,Kodiak,Koniag,Kodiak Island,56.9483287,-154.215307,0
Akiachak,Kuskokwim,Akiachak CDP,Kuskokwim,Calista,Bethel,60.920848,-161.4019705,0
Akiak,Kuskokwim,Akiak city,Kuskokwim,Calista,Bethel,60.9094467,-161.2160016,0
Akolmiut,Kuskokwim,,,,,,,0
Akutan,Alaska Peninsula and Aleutian Islands,Akutan city,Aleutian Islands,Aleut,Aleutians East,54.1399932,-165.763018,0
Alakanuk,Yukon,Alakanuk city,Yukon,Calista,Kusilvak,62.7109971,-164.649719,0
Alatna,Yukon,Alatna CDP,Yukon,Doyon,Yukon-Koyukuk,66.5638439,-152.8391768,0
Alcan,Yukon,,,,,,,0
Alcan Border,Yukon,Alcan Border CDP,Yukon,Doyon,Southeast Fairbanks,62.6956058,-141.1827409,0
Aleknagik,Bristol Bay,Aleknagik city,Bristol Bay,Bristol Bay,Dillingham,59.2889609,-158.6643428,0
Aleknagik Lake,Bristol Bay,,,,,,,0
Aleknagik Mission,Bristol Bay,,,,,,,0
Aleneva,Kodiak,Aleneva CDP,Kodiak,Koniag,Kodiak Island,58.0590519,-152.909015,0
Alexander Creek,Cook Inlet,,,,,,,0
Alitak,Kodiak,,,,,,,0
Allakaket,Yukon,Allakaket city,Yukon,Doyon,Yukon-Koyukuk,66.5420021,-152.583016,0
Alpine,Arctic,,,,,,,0
Ambler,Kotzebue,Ambler city,Kotzebue,NANA,Northwest Arctic,67.0909458,-157.8870941,0
Amchitka,Alaska Peninsula and Aleutian Islands,,,,,,,0
Amook Pass,Kodiak,,,,,,,0
Anaktuvuk Pass,Arctic,Anaktuvuk Pass city,Arctic,Arctic Slope,North Slope,68.1538052,-151.704962,0
Anchor Point,Cook Inlet,Anchor Point CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,59.7473639,-151.6956971,0
Anchorage,Cook Inlet,Anchorage municipality,Cook Inlet, ,Anchorage,61.1742503,-149.2843294,1
Anderson,Yukon,Anderson city,Yukon,Doyon,Denali,64.3082809,-149.1631867,0
Andreafsky,Yukon,,,,,,,0
Angoon,Southeast,Angoon city,Southeast,Sealaska,Hoonah-Angoon,57.4410211,-134.4786291,0
Aniak,Kuskokwim,Aniak city,Kuskokwim,Calista,Bethel,61.5776187,-159.5417555,0
Annette,Southeast,,,,,,,0
Anvik,Yukon,Anvik city,Yukon,Doyon,Yukon-Koyukuk,62.6325213,-160.2135554,0
Arctic,Yukon,,,,,,,0
Arctic Village,Yukon,Arctic Village CDP,Yukon,Doyon,Yukon-Koyukuk,68.1654197,-145.4013293,0
Arey Island,Arctic,,,,,,,0
Atka,Alaska Peninsula and Aleutian Islands,Atka city,Aleutian Islands,Aleut,Aleutians West,52.2114014,-174.2130282,0
Atkasook,Arctic,,,,,,,0
Atmautluak,Kuskokwim,Atmautluak CDP,Kuskokwim,Calista,Bethel,60.8627546,-162.2803021,0
Atqasuk,Arctic,Atqasuk city,Arctic,Arctic Slope,North Slope,70.4807859,-157.3254592,0
Attu,Alaska Peninsula and Aleutian Islands,,,,,,,0
Attu Station,Alaska Peninsula and Aleutian Islands,Attu Station CDP,Aleutian Islands,Aleut,Aleutians West,52.8802478,173.256076,0
Auke Bay,Southeast,,,,,,,1
Aurora,Yukon,,,,,,,0
Badger,Yukon,Badger CDP,Yukon,Doyon,Fairbanks North Star,64.8000813,-147.3851292,0
Baranof,Southeast,,,,,,,0
Barrow,Arctic,Barrow city,Arctic,Arctic Slope,North Slope,71.2516793,-156.8005236,1
Barter Island,Arctic,,,,,,,0
Bear Cove,Cook Inlet,,,,,,,0
Bear Creek,Cook Inlet,Bear Creek CDP,Cook Inlet,Chugach,Kenai Peninsula,60.2080603,-149.3697788,0
Beaver,Yukon,Beaver CDP,Yukon,Doyon,Yukon-Koyukuk,66.3828007,-147.3219377,0
Belkofski,Alaska Peninsula and Aleutian Islands,,,,,,,0
Bell Island,Southeast,,,,,,,0
Beluga,Cook Inlet,Beluga CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,61.1909557,-151.1849687,0
Beluga River,Cook Inlet,,,,,,,0
Bethel,Kuskokwim,Bethel city,Kuskokwim,Calista,Bethel,60.7929985,-161.7934771,1
Bettles,Yukon,Bettles city,Yukon,Doyon,Yukon-Koyukuk,66.9125133,-151.5311718,0
Big Delta,Yukon,Big Delta CDP,Yukon,Doyon,Southeast Fairbanks,64.1566479,-145.7409222,0
Big Horn,Yukon,,,,,,,1
Big Lake,Cook Inlet,Big Lake CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.529768,-149.980916,0
Birch Creek,Yukon,Birch Creek CDP,Yukon,Doyon,Yukon-Koyukuk,66.2683311,-145.8763908,0
Birch Lake,Yukon,,,,,,,1
Birchwood,Cook Inlet,,,,,,,1
Bird Creek,Cook Inlet,,,,,,,1
Bird Settlement,Cook Inlet,,,,,,,0
Bodenburg Butte,Cook Inlet,,,,,,,0
Boswell Bay,Prince William Sound,,,,,,,0
Brevig Mission,Norton Sound,Brevig Mission city,Norton Sound,Bering Straits,Nome,65.343191,-166.5089548,0
Buckland,Kotzebue,Buckland city,Kotzebue,NANA,Northwest Arctic,65.9764942,-161.1388036,0
